Date,Coin
2015-01-01,bitbay
2015-01-01,bitcoin
2015-01-01,bitcoindark
2015-01-01,bitshares
2015-01-01,blackcoin
2015-01-01,bytecoin-bcn
2015-01-01,counterparty
2015-01-01,dash
2015-01-01,digitalnote
2015-01-01,dogecoin
2015-01-01,emercoin
2015-01-01,faircoin
2015-01-01,feathercoin
2015-01-01,gulden
2015-01-01,litecoin
2015-01-01,maidsafecoin
2015-01-01,monacoin
2015-01-01,monero
2015-01-01,namecoin
2015-01-01,nxt
2015-01-01,peercoin
2015-01-01,potcoin
2015-01-01,reddcoin
2015-01-01,ripple
2015-01-01,solarcoin
2015-01-01,stellar
2015-01-01,supernet-unity
2015-01-01,vericoin
2015-01-01,vertcoin
2015-01-01,viacoin
2015-04-01,bitcoin
2015-04-01,bitcoindark
2015-04-01,bitshares
2015-04-01,blackcoin
2015-04-01,blocknet
2015-04-01,bytecoin-bcn
2015-04-01,counterparty
2015-04-01,dash
2015-04-01,digibyte
2015-04-01,digitalnote
2015-04-01,dogecoin
2015-04-01,faircoin
2015-04-01,gridcoin
2015-04-01,gulden
2015-04-01,litecoin
2015-04-01,maidsafecoin
2015-04-01,monacoin
2015-04-01,monero
2015-04-01,namecoin
2015-04-01,nav-coin
2015-04-01,nem
2015-04-01,nxt
2015-04-01,peercoin
2015-04-01,potcoin
2015-04-01,reddcoin
2015-04-01,ripple
2015-04-01,stellar
2015-04-01,supernet-unity
2015-04-01,tether
2015-04-01,vericoin
2015-07-01,bitcoin
2015-07-01,bitcoindark
2015-07-01,bitshares
2015-07-01,blackcoin
2015-07-01,blocknet
2015-07-01,bytecoin-bcn
2015-07-01,counterparty
2015-07-01,dash
2015-07-01,digibyte
2015-07-01,digitalnote
2015-07-01,dogecoin
2015-07-01,emercoin
2015-07-01,faircoin
2015-07-01,feathercoin
2015-07-01,iocoin
2015-07-01,litecoin
2015-07-01,maidsafecoin
2015-07-01,monacoin
2015-07-01,monero
2015-07-01,namecoin
2015-07-01,nem
2015-07-01,nxt
2015-07-01,peercoin
2015-07-01,ripple
2015-07-01,solarcoin
2015-07-01,stellar
2015-07-01,supernet-unity
2015-07-01,tether
2015-07-01,vericoin
2015-07-01,vertcoin
2015-10-01,bitcoin
2015-10-01,bitcoindark
2015-10-01,bitshares
2015-10-01,blackcoin
2015-10-01,bytecoin-bcn
2015-10-01,cloakcoin
2015-10-01,counterparty
2015-10-01,dash
2015-10-01,digitalnote
2015-10-01,dogecoin
2015-10-01,emercoin
2015-10-01,ethereum
2015-10-01,faircoin
2015-10-01,gamecredits
2015-10-01,gridcoin
2015-10-01,litecoin
2015-10-01,maidsafecoin
2015-10-01,monacoin
2015-10-01,monero
2015-10-01,namecoin
2015-10-01,nem
2015-10-01,nxt
2015-10-01,peercoin
2015-10-01,ripple
2015-10-01,rubycoin
2015-10-01,stellar
2015-10-01,supernet-unity
2015-10-01,tether
2015-10-01,vericoin
2015-10-01,vertcoin
2016-01-01,bitcoin
2016-01-01,bitcoindark
2016-01-01,bitshares
2016-01-01,blackcoin
2016-01-01,bytecoin-bcn
2016-01-01,counterparty
2016-01-01,dash
2016-01-01,digibyte
2016-01-01,dogecoin
2016-01-01,emercoin
2016-01-01,ethereum
2016-01-01,factom
2016-01-01,gamecredits
2016-01-01,gridcoin
2016-01-01,litecoin
2016-01-01,maidsafecoin
2016-01-01,monacoin
2016-01-01,monero
2016-01-01,namecoin
2016-01-01,nem
2016-01-01,nxt
2016-01-01,peercoin
2016-01-01,reddcoin
2016-01-01,ripple
2016-01-01,rubycoin
2016-01-01,solarcoin
2016-01-01,stellar
2016-01-01,supernet-unity
2016-01-01,tether
2016-01-01,vericoin
2016-04-01,agoras-tokens
2016-04-01,bitcoin
2016-04-01,bitcoindark
2016-04-01,bitshares
2016-04-01,blackcoin
2016-04-01,bytecoin-bcn
2016-04-01,counterparty
2016-04-01,dash
2016-04-01,decred
2016-04-01,digibyte
2016-04-01,dogecoin
2016-04-01,emercoin
2016-04-01,ethereum
2016-04-01,factom
2016-04-01,gamecredits
2016-04-01,gridcoin
2016-04-01,litecoin
2016-04-01,maidsafecoin
2016-04-01,monacoin
2016-04-01,monero
2016-04-01,namecoin
2016-04-01,nem
2016-04-01,nxt
2016-04-01,peercoin
2016-04-01,ripple
2016-04-01,rubycoin
2016-04-01,safe-exchange-coin
2016-04-01,siacoin
2016-04-01,stellar
2016-04-01,syscoin
2016-07-01,agoras-tokens
2016-07-01,bitcoin
2016-07-01,bitshares
2016-07-01,bytecoin-bcn
2016-07-01,counterparty
2016-07-01,dash
2016-07-01,decred
2016-07-01,digixdao
2016-07-01,dogecoin
2016-07-01,emercoin
2016-07-01,ethereum
2016-07-01,factom
2016-07-01,feathercoin
2016-07-01,gamecredits
2016-07-01,lisk
2016-07-01,litecoin
2016-07-01,maidsafecoin
2016-07-01,monero
2016-07-01,namecoin
2016-07-01,nem
2016-07-01,nxt
2016-07-01,peercoin
2016-07-01,ripple
2016-07-01,siacoin
2016-07-01,solarcoin
2016-07-01,steem
2016-07-01,stellar
2016-07-01,tether
2016-07-01,waves
2016-07-01,xaurum
2016-10-01,agoras-tokens
2016-10-01,bitcoin
2016-10-01,bitshares
2016-10-01,bytecoin-bcn
2016-10-01,counterparty
2016-10-01,dash
2016-10-01,digixdao
2016-10-01,dogecoin
2016-10-01,emercoin
2016-10-01,ethereum
2016-10-01,ethereum-classic
2016-10-01,factom
2016-10-01,gamecredits
2016-10-01,iocoin
2016-10-01,lisk
2016-10-01,litecoin
2016-10-01,maidsafecoin
2016-10-01,monero
2016-10-01,namecoin
2016-10-01,nem
2016-10-01,nxt
2016-10-01,peercoin
2016-10-01,ripple
2016-10-01,siacoin
2016-10-01,steem
2016-10-01,stellar
2016-10-01,syscoin
2016-10-01,tether
2016-10-01,waves
2016-10-01,xaurum
2017-01-01,ardor
2017-01-01,augur
2017-01-01,bitcoin
2017-01-01,bitshares
2017-01-01,bytecoin-bcn
2017-01-01,dash
2017-01-01,digixdao
2017-01-01,dogecoin
2017-01-01,emercoin
2017-01-01,ethereum
2017-01-01,ethereum-classic
2017-01-01,factom
2017-01-01,gamecredits
2017-01-01,golem-network-tokens
2017-01-01,gulden
2017-01-01,iconomi
2017-01-01,lisk
2017-01-01,litecoin
2017-01-01,maidsafecoin
2017-01-01,monero
2017-01-01,nem
2017-01-01,neo
2017-01-01,ripple
2017-01-01,steem
2017-01-01,stellar
2017-01-01,stratis
2017-01-01,tether
2017-01-01,waves
2017-01-01,xaurum
2017-01-01,zcash
2017-04-01,ardor
2017-04-01,augur
2017-04-01,bitcoin
2017-04-01,bitconnect
2017-04-01,bytecoin-bcn
2017-04-01,dash
2017-04-01,decred
2017-04-01,digixdao
2017-04-01,dogecoin
2017-04-01,ethereum
2017-04-01,ethereum-classic
2017-04-01,factom
2017-04-01,firstblood
2017-04-01,gamecredits
2017-04-01,golem-network-tokens
2017-04-01,iconomi
2017-04-01,lisk
2017-04-01,litecoin
2017-04-01,maidsafecoin
2017-04-01,melon
2017-04-01,monero
2017-04-01,nem
2017-04-01,pivx
2017-04-01,ripple
2017-04-01,singulardtv
2017-04-01,steem
2017-04-01,stratis
2017-04-01,tether
2017-04-01,waves
2017-04-01,zcash
2017-07-01,ardor
2017-07-01,augur
2017-07-01,bitcoin
2017-07-01,bitconnect
2017-07-01,bitshares
2017-07-01,byteball
2017-07-01,bytecoin-bcn
2017-07-01,dash
2017-07-01,dogecoin
2017-07-01,ethereum
2017-07-01,ethereum-classic
2017-07-01,factom
2017-07-01,gamecredits
2017-07-01,gnosis-gno
2017-07-01,golem-network-tokens
2017-07-01,iconomi
2017-07-01,iota
2017-07-01,lisk
2017-07-01,litecoin
2017-07-01,maidsafecoin
2017-07-01,monero
2017-07-01,nem
2017-07-01,neo
2017-07-01,ripple
2017-07-01,siacoin
2017-07-01,steem
2017-07-01,stellar
2017-07-01,stratis
2017-07-01,waves
2017-07-01,zcash
2017-10-01,ark
2017-10-01,augur
2017-10-01,basic-attention-token
2017-10-01,bitcoin
2017-10-01,bitcoin-cash
2017-10-01,bitconnect
2017-10-01,bytecoin-bcn
2017-10-01,dash
2017-10-01,eos
2017-10-01,ethereum
2017-10-01,ethereum-classic
2017-10-01,golem-network-tokens
2017-10-01,hshare
2017-10-01,iota
2017-10-01,kyber-network
2017-10-01,lisk
2017-10-01,litecoin
2017-10-01,maidsafecoin
2017-10-01,monero
2017-10-01,nem
2017-10-01,neo
2017-10-01,omisego
2017-10-01,qtum
2017-10-01,ripple
2017-10-01,steem
2017-10-01,stratis
2017-10-01,tenx
2017-10-01,tether
2017-10-01,waves
2017-10-01,zcash
2018-01-01,ardor
2018-01-01,bitcoin
2018-01-01,bitcoin-cash
2018-01-01,bitcoin-gold
2018-01-01,bitconnect
2018-01-01,bitshares
2018-01-01,cardano
2018-01-01,dash
2018-01-01,eos
2018-01-01,ethereum
2018-01-01,ethereum-classic
2018-01-01,icon
2018-01-01,iota
2018-01-01,lisk
2018-01-01,litecoin
2018-01-01,monero
2018-01-01,nano
2018-01-01,nem
2018-01-01,neo
2018-01-01,omisego
2018-01-01,populous
2018-01-01,qtum
2018-01-01,ripple
2018-01-01,stellar
2018-01-01,stratis
2018-01-01,tether
2018-01-01,tron
2018-01-01,verge
2018-01-01,waves
2018-01-01,zcash
Following the closure of bitconnect exchange and the collapse of bitconnect coin, which has revealed to be a securities fraud, 
the said coin has been removed from the index as an extraordinary action, and a full recomputation of the components has followed. 
2018-01-19,ardor
2018-01-19,binance-coin
2018-01-19,bitcoin
2018-01-19,bitcoin-cash
2018-01-19,bitcoin-gold
2018-01-19,bytecoin-bcn
2018-01-19,cardano
2018-01-19,dash
2018-01-19,eos
2018-01-19,ethereum
2018-01-19,ethereum-classic
2018-01-19,icon
2018-01-19,iota
2018-01-19,lisk
2018-01-19,litecoin
2018-01-19,monero
2018-01-19,nano
2018-01-19,nem
2018-01-19,neo
2018-01-19,omisego
2018-01-19,populous
2018-01-19,qtum
2018-01-19,ripple
2018-01-19,siacoin
2018-01-19,stellar
2018-01-19,stratis
2018-01-19,tether
2018-01-19,tron
2018-01-19,verge
2018-01-19,zcash
2018-04-01,binance-coin
2018-04-01,bitcoin
2018-04-01,bitcoin-cash
2018-04-01,bitcoin-gold
2018-04-01,cardano
2018-04-01,dash
2018-04-01,digixdao
2018-04-01,eos
2018-04-01,ethereum
2018-04-01,ethereum-classic
2018-04-01,icon
2018-04-01,iota
2018-04-01,lisk
2018-04-01,litecoin
2018-04-01,monero
2018-04-01,nano
2018-04-01,nem
2018-04-01,neo
2018-04-01,omisego
2018-04-01,ontology
2018-04-01,populous
2018-04-01,qtum
2018-04-01,ripple
2018-04-01,steem
2018-04-01,stellar
2018-04-01,tether
2018-04-01,tron
2018-04-01,vechain
2018-04-01,verge
2018-04-01,zcash
2018-07-01,binance-coin
2018-07-01,bitcoin
2018-07-01,bitcoin-cash
2018-07-01,bitcoin-gold
2018-07-01,bytecoin-bcn
2018-07-01,cardano
2018-07-01,dash
2018-07-01,decred
2018-07-01,eos
2018-07-01,ethereum
2018-07-01,ethereum-classic
2018-07-01,icon
2018-07-01,iota
2018-07-01,lisk
2018-07-01,litecoin
2018-07-01,monero
2018-07-01,nem
2018-07-01,neo
2018-07-01,omisego
2018-07-01,ontology
2018-07-01,qtum
2018-07-01,ripple
2018-07-01,stellar
2018-07-01,tether
2018-07-01,tron
2018-07-01,vechain
2018-07-01,zcash
2018-07-01,zilliqa
2018-07-01,aeternity
2018-07-01,bytom
